fname,text,label
15190.txt,"
In article <C5Jzsz.Jzo@cs.uiuc.edu> kadie@cs.uiuc.edu (Carl M Kadie) writes:
>ashall@magnus.acs.ohio-state.edu (Andrew S Hall) writes:
>
>>I am postive someone will correct me if I am wrong, but doesn't the Fifth
>>also cover not being forced to do actions that are self-incriminating?
>[From Mike Godwin <mnemonic@eff.org>, posted with permission - Carl]

>No, but they could compell you to produce the key to a safe where, as it
>happens, evidence that will convict you is stored. 
>
>The crypto-key disclosure issue hasn't come up yet, but current law
>suggests that it's a loser for the defendant--he'll be compelled to turn
>over the key.
>
>The test for compelled self-incrimination is whether the material to 
>be disclosed *in itself* tends to inculpate the discloser. In the example
>I gave above, the safe key itself has no testimonial value--ergo, it can
>be disclosed under compulsion (e.g., subpoena duces tecum).

>Moreover, the government can always immunize the disclosure of a crypto
>key--compelling you to disclose the key at the price of not using the fact
>of your disclosure as evidence in the case against you. Of course, they
>can use whatever they discover as a result of this disclosure against
>you.
>--Mike

    Lets carry this one step further. Suppose the text of the key is
in itself conclusive evidence of the SAME CRIME for which the
encrypted material is further evidence. I find myself envisaging a
scenario like this:

You have made some scans of Peanuts strips. You encrypt them. The key
is a phrase.

The Comic Police haul you in. They seize your system. They find the
encrypted file.

CP:    ""Whats that file?""

You:   ""I take the fifth.""

CP:    ""What's the keyphrase to that file?"" 

You:   ""I take the fifth.""

Judge: ""You have to reveal the keyphrase"" [I disagree, but I'm not a judge.]

You:   ""Your Honor, revealing the keyphrase, in it's own right, would 
	tend to incriminate me of breaking laws, independent of what 
	may or may not be in the encrypted file.""  

Judge: ""I grant you immunity from whatever may be learned from the key
	itself""

You:    ""The keyphrase is: ""I confess to deliberately evading copyright; 
	the file encoded with this keyphrase contains illegal scans of 
        copyrighted Peanuts strips.""""

Judge and CP: ""Oh.""

     How will they get you now? I'm not saying that they won't, or
can't (or even that they shouldn't :-), but what legal mechanism will
they use? Should we be crossposting this to misc.legal?

							Peter Trei
							ptrei@mitre.org

",entertainment
15198.txt,"
Charles Kincy (ckincy@cs.umr.edu) wrote:
: In article <1993Apr16.001321.3692@natasha.portal.com> bob@natasha.portal.com (Bob Cain) writes:
: 
: >: I hope my cynicism is misplaced here.  Go ahead...I'm not afraid to
: >: be wrong every once in a while.  But, I have an uneasy feeling that I
: >: am right.  :(
: >
: >It is and you are wrong yet you emotionally state a bunch of crap as fact
: >with a tiny disclaimer at the end.  Check your facts first and grow up.
: >Why is there such a strong correlation between interest in cryptography
: >and immaturity I wonder.
: 
: Oh, I see, flame someone, tell them that they are immature, tell them
: they are wrong, and then don't offer any proof for your assertions.
: 
: You really *are* a putz.  Put up or shut up.
: 

I will provide any proof you wish in private.  Name it, dickhead.


Putz Cain
",entertainment
16007.txt,"
In article <41@shockwave.win.net>, jhupp@shockwave.win.net (Jeff Hupp) writes:
>     The NSA's charter forbids them from doing any purely domestic
> intelligence work, I would think that even providing assistance in
> development of the Skipjack algorithom is a violation of that charter. 
> But as with any intrenched government agency, they will do what they
> think is expedent.

There are other laws and directives which bear upon the subject.  For
example, the National Computer Security Act of 1987 specifically directs
NBS [sic] to work with NSA on developing security standards for civilian
Federal computers.  (Pick up the bill from cpsr.org; it also includes
a report describing it, and some of the legislative history, including
concerns about NSA's involvement.)  Note also that NSA is specifically
charged with running the National Computer Security Center,  -- to
quote the aforementioned report -- ``NSA also will work with industries at
the DOD Computer Security Center to develop security standards for private
sector use.''

It may or may not be a good idea to have NSA tinkering with this, but
I'm pretty sure it's legal.  (Btw -- when it comes to development of
cryptosystems, there may be two choices.  Either NSA helped develop it,
in which case maybe they can crack it, maybe not, but probably, no one
else can; or NSA didn't help, in which case they probably can crack it,
and maybe others as well...)
",crime
60955.txt,"

In article <C5qvJC.B4B@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry
Spencer) writes: 
> The National Air & Space Museum has both the prototype and the film.

>   However, quite possibly it's
> no longer on display; NASM, like most museums, has much more stuff than it
> can display at once, and does rotate the displays occasionally.

The NASM photo archives are open to the public.  All (or almost all)
still pictures in the collection are available for viewing, but I
don't know about films.  At least it might be worth a try.  I'm not
sure if appointments are necessary, but I think not.

Good luck, and let us know what you find.
-- 
Steve Willner            Phone 617-495-7123         Bitnet:   willner@cfa
Cambridge, MA 02138 USA                 Internet: willner@cfa.harvard.edu
  member, League for Programming Freedom; contact lpf@uunet.uu.net
",science
15661.txt,"Distribution: world
Message-ID: <1r4kup$cjm@news.intercon.com>
References: <1r49np$b5v@news.intercon.com>
Reply-To: amanda@intercon.com (Amanda Walker)
NNTP-Posting-Host: chaos.intercon.com
X-Newsreader: InterCon TCP/Connect II 1.1

amanda@intercon.com (Amanda Walker) writes:
> I don't get up in arms when 
> the government fails to protect the interests of the people, because in 
> my lifetime it never has--therefore, I have no expectation that it will. 

Just to make sure everyone is clear on this: ""it never has"" refers to 
""protects"", not ""fails to protect""; i.e., in my lifetime I have never seen 
the U.S. government consistently protect the interest of U.S. citizens, 
except by accident.


Amanda Walker
InterCon Systems Corporation


",science
15685.txt,"Nntp-Posting-Host: signal.ece.clarkson.edu

My earlier argument that ""Clipper will encourage state and local cops 
to commit criminal acts"" is largely moot, now that we've learned that 
the FBI will perform the actual tap.  [It will encourage the *FBI* to
commit (even more) criminal acts, but that's not the point here.]

But this gives another avenue of attack on the Clipper proposal.  When
the EFF/ACLU/CPSR FOIA requests are made, they should ask for details
on the bureaucratic and equipment infrastructure that is proposed (or 
even already budgeted) for the FBI to service tapping requests -- for now
and the projected future. 

From these figures, estimate the number of Clipper-tap requests the FBI
is expecting.  Publish this figure.  Compare it on a per-capita basis
with the amount of tapping now known or suspected.

Also estimate how expensive it would be for the FBI to install more
Clipper-tapping stations, and how rapidly they could be built and
installed ... ie, get the ""plus or minus"" epsilon for the near future.

Might be a mite disturbing for J. Q. Public to know these things.

And despite all the technical details [BTW, thanks to those who've been
providing them!], we still don't know 

1) how the tapping requests will be transmitted and authenticated (though
   it isn't too hard to guess a good scheme).

2) how the results will be securely transmitted (Fed Ex the audio tapes?)

3) how privacy will be re-established when an investigation is complete.

+========================================================================+
|  dwight tuinstra             best:  tuinstra@sandman.ece.clarkson.edu  |
|                         tolerable:  tuinstrd@craft.camp.clarkson.edu   |
|                                                                        |
|        ""Homo sapiens: planetary cancer??  ...  News at six""            |
+========================================================================+
",entertainment
15984.txt,"Distribution: inet
Message-ID: <1rf3k0$7m9@agate.berkeley.edu>
References: <C5xDEy.Ax7@agora.rain.com>
NNTP-Posting-Host: garnet.berkeley.edu
Keywords: Clipper, wiretap


The RISC processor made by Fairchild, sold to Intergraph, much the same
story as the R4000.

Remember how Spielberg lost the control of Star Wars when the DOD started
using the name? The loss was confirmed in court. 
",crime
15231.txt,"
In article <strnlghtC5LGFI.JqA@netcom.com> strnlght@netcom.com (David Sternlight) writes:
>
>
>Though I share many of the concerns expressed by some, I find the proposal
>less threatening than many others, since right now most Americans have no
>secure telephony, and any jerk with a pair of clip leads and a ""goat"" can
>eavesdrop. This would also plug up the security hole in cellular and
>cordless phones.
>

Oh great. Wonderful news. Nobody can listen in--except the feds. You
believe that the feds offer the least threat to liberty of anyone, and I'm
sure I do too.

Glad that jerk won't be tapping my phone anymore.
-- 
------------------------------------------------------------------------------
John Hesse           |          A man,     
jhesse@netcom.com    |                 a plan, 
Moss Beach, Calif    |                         a canal, Bob.
------------------------------------------------------------------------------
",science
59446.txt,"
In article <C66919.Inz@world.std.com>, rmccown@world.std.com (Bob McCown) writes...
>We're about to have our first baby, and have a few questions that we
>dont seem to be able to get answered to our satisfaction. 
> 
>Reguarding having a baby boy circumsized, what are the medical pros
>and cons?  All we've heard is 'its up to the parents'.
> 
Unfortonately, that truly is about the best summation of the research
that there is.  Advantages stated of circumcison included probably
prevention of penile cancer, (which, interestingly, occurs mostly in men
whose personal hygiene is exceptionally poor), simplicity of personal
hygiene, prevention of urinary tract infections, and prevention of
a unretractible foreskin,  Disadvantages include infection from the 
procedure, pain, etc.  I apologize; I am trying to pull this off
the top of my head.  I will post what I discovered in research; I did
a paper on the topic in my research class in Nursing school.
It really is a decision that is up to the parents.  Some parents use
the reasoning that they will ""look like Daddy"" and like their friends
as justification.  There is nothing wrong with this; just be sure it is
what you want to do, since it is rather difficult to uncircumcise
a male, although a major surgical procedure exists.

>How about the pregnant woman sitting in a tub of water?  We've heard 
>stories of infection, etc.  How about after the water has broken?
> 
As long as your membranes have not broken and you have not had any
problems with your pregnancy, it should be OK to sit in a tub of water.
HOWEVER, I WOULD RECOMMEND USING YOUR OWN BATHTUB IN YOUR OWN HOME!
It is nearly impossible to guarantee the cleanliness and safety of ""public""
hot tubs.  A nice warm bath can be very relaxing, especially if your back
is killing you!  And it would possibly be advisable to avoid bubble bath
soap , esp. if you are prone to yeast infection.

Hope these tips help you some.

Elisa
picl25@fsphy1.physics.fsu.edu
",science
15591.txt,"
	gtoal@gtoal.com (Graham Toal) writes:
	>
	>In the UK, it's impossible to get approval to attach any crypto device
	>to the phone network.  (Anything that plugs in to our BT phone sockets
	>must be approved - for some reason crypto devices just never are...)
	>

	Whats the difference between a V.32bis modem and a V.32bis modem?

	I'm not being entirely silly here: what I'm pointing out is that the
	modems that they have already approved for data transmission will work
	just fine to transmit scrambled vocoded voice.

Absolutely.  I just meant that no secure *dedicated* crypto device has
ever been given approval.  Guerrilla underground devices should be well
possible with today's high-speed modems (not that I can think of many v32bis
modems that are approved either mind you - just the overpriced Couriers)

Can someone tell me if hardware compression is or is not needed to run
digital speech down 14.4K?  I think it is; I've heard it's not.  Lets
say 8 bit samples.  Would *raw* data at the corresponding sampling rate
be usable?  If not, how fancy does the compression need to be?

G
",science
